name,url
TV06-PSO._PARQUE,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-06.jpg
TV08-MANUEL_ALCANTARA,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-08.jpg
TV19-CANOVAS,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-19.jpg
TV20-PSO._CURAS,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-20.jpg
TV28-ALAMEDA,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-28.jpg
TV30-ALAMEDA_DE_COLON,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-30.jpg
TV36-HILERA,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-36.jpg
TV38-PRIES,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-38.jpg
TV40-ARMINAN,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-40.jpg
TV41-CARRETERIA,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-41.jpg
TV42-ALAMOS,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-42.jpg
TV29-IDRIS,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-29.jpg
TV24-PTE._MEDITERRANEO,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-24.jpg
TV23-CMNO._SUAREZ,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-23.jpg
TV53-C.HAYA-V._INCLAN,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-53.jpg
TV09-MANUEL_AZANA,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-09.jpg
